,Word,Times_Used
9284,record,9
9283,“this,9
9282,#shewon,9
9281,i've,9
9280,afraid,9
9279,use,9
9278,issues,9
9277,back.,9
9276,ht…,9
9275,"people,",9
9274,$4,9
9273,rate,9
9272,https://t.co/…,9
9271,returns,9
9270,shouldn't,9
9269,millionaires,9
9268,.@timkaine,9
9267,judge,9
9266,"""a",9
9265,gop,9
9264,hate,9
9263,@hillaryclinton.,9
9262,latest,9
9261,.@realdonaldtrump,9
9260,nobody,9
9259,@thebriefing2016,9
9258,criminal,9
9257,"""trump",9
9256,opponent,9
9255,moment,9
9254,common,9
9253,playing,9
9252,difference,9
9251,facing,9
9250,history.,9
9249,different,9
9248,behind,9
9247,profits,9
9246,fact:,9
9245,sobre,9
9244,lose,9
9243,powerful,9
9242,florida,9
9241,becomes,9
9240,faith,9
9239,toward,9
9238,miss,9
9237,committed,9
9236,—@potus:,9
9235,are.,9
9234,prove,9
9233,grateful,9
9232,states.,9
9231,safe,9
9230,las,9
9229,daughter,9
9228,decisions,9
9227,debt-free,9
9226,expand,9
9225,hateful,9
9224,trumps,9
9223,@potus:,9
9222,defeat,9
9221,video,9
9220,un,9
9219,progressive,9
9218,tuition-free,9
9217,watch:,9
9216,past,9
9215,president.”,9
9214,agree,9
9213,"week,",9
9212,alone,9
9211,presidency,9
9210,them:,9
9209,saying,9
9208,better.,9
9207,himself.,8
9206,agree:,8
9205,candidates,8
9204,democrats,8
9203,which,8
9202,sit,8
9201,women.,8
9200,workers,8
9199,story,8
9198,threat,8
9197,5,8
9196,hit,8
9195,—@mikebloomberg,8
9194,unqualified,8
9193,billionaires,8
9192,senator,8
9191,released,8
9190,given,8
9189,equality,8
9188,stands,8
9187,serious,8
9186,check,8
9185,"""make",8
9184,top,8
9183,enter,8
9182,congrats,8
9181,economy.,8
9180,barriers,8
9179,dad,8
9178,president:,8
9177,"""we’re",8
9176,often,8
9175,understand,8
9174,family.,8
9173,coming,8
9172,stood,8
9171,4,8
9170,affordable,8
9169,nearly,8
9168,supporting,8
9167,18,8
9166,11,8
9165,"""there",8
9164,olympic,8
9163,21st,8
9162,kaine,8
9161,near,8
9160,http…,8
9159,sees,8
9158,willing,8
9157,personal,8
9156,answer,8
9155,companies,8
9154,today:,8
9153,"again,",8
9152,hits,8
9151,such,8
9150,...,8
9149,clear:,8
9148,wouldn't,8
9147,"years,",8
9146,terrible,8
9145,tried,8
9144,him.,8
9143,america.”,8
9142,@johnpodesta:,8
9141,editorial,8
9140,michelle,8
9139,violence.,8
9138,friend,8
9137,remember,8
9136,global,8
9135,you'll,8
9134,comments,8
