,Word,Times_Used
9203,tell,8
9202,melania,8
9201,dollars,8
9200,bobby,8
9199,fair,8
9198,today's,8
9197,democratic,8
9196,"florida,",8
9195,florida-,8
9194,spoke,8
9193,that’s,7
9192,favor,7
9191,#debatenight,7
9190,crowd!,7
9189,crowds,7
9188,supporters.,7
9187,night!,7
9186,guns,7
9185,worse,7
9184,politics,7
9183,pols,7
9182,to…,7
9181,@jebbush,7
9180,"nafta,",7
9179,longer,7
9178,ran,7
9177,immigration.,7
9176,day!,7
9175,administration,7
9174,loves,7
9173,@wsj,7
9172,"rubio,",7
9171,entire,7
9170,#votetrumpsc,7
9169,jobs!,7
9168,8,7
9167,find,7
9166,nominee,7
9165,pathetic,7
9164,coal,7
9163,dem,7
9162,talks,7
9161,forget,7
9160,movement!,7
9159,middle,7
9158,borders,7
9157,"trade,",7
9156,j.,7
9155,13,7
9154,maybe,7
9153,reviews,7
9152,lie.,7
9151,"you!
#makeamericagreatagain",7
9150,bad!,7
9149,arrived,7
9148,down!,7
9147,disaster!,7
9146,"today,",7
9145,up.,7
9144,friends,7
9143,e-mail,7
9142,t.v.,7
9141,written,7
9140,desperate,7
9139,able,7
9138,"vegas,",7
9137,university,7
9136,front,7
9135,including,7
9134,control,7
9133,game,7
9132,else,7
9131,justice,7
9130,center,7
9129,miss,7
9128,reason,7
9127,isn't,7
9126,fool,7
9125,tomorrow.,7
9124,low,7
9123,greatly,7
9122,fortune,7
9121,article,7
9120,3,7
9119,unfit,7
9118,caught,7
9117,terror,7
9116,air,7
9115,speak,7
9114,"campaign,",7
9113,las,7
9112,waste,7
9111,"trump""",7
9110,@ivankatrump:,7
9109,race,7
9108,don,7
9107,continue,7
9106,golf,7
9105,condolences,7
9104,all!,7
9103,great.,7
9102,register,7
9101,gone,7
9100,poll.,7
9099,#trump,7
9098,@drudge_report:,7
9097,turned,7
9096,disaster.,7
9095,veterans,7
9094,so!,7
9093,losing,7
9092,#inprimary,7
9091,"beach,",7
9090,incompetent,7
9089,them!,7
9088,"lies,",7
9087,brought,7
9086,military,7
9085,reports,7
9084,june,6
9083,book,6
9082,whole,6
9081,wild,6
9080,joe,6
9079,boring,6
9078,"yesterday,",6
9077,crowd.,6
9076,something,6
9075,heard,6
9074,us!,6
9073,polling,6
9072,deals,6
9071,back.,6
9070,vice,6
9069,"people.""",6
9068,protesters,6
9067,@facethenation,6
9066,due,6
9065,wrote,6
9064,clinton’s,6
9063,discuss,6
9062,nights,6
9061,feel,6
9060,health,6
9059,short,6
9058,rather,6
9057,debates,6
9056,israel,6
9055,"borders,",6
9054,action!,6
9053,it’s,6
9052,tim,6
9051,pundits,6
9050,.@foxnews,6
9049,discussing,6
9048,regarding,6
9047,plans,6
9046,unbelievable,6
9045,"#trump2016""",6
9044,s.c.,6
9043,head,6
9042,"attack,",6
9041,orlando,6
9040,"""a",6
9039,wisconsin.,6
9038,biased.,6
9037,republicans,6
9036,hopefully,6
9035,free,6
9034,god,6
9033,large,6
9032,iowa,6
9031,#nyprimary,6
9030,"talk,",6
9029,change!,6
9028,change.,6
9027,tonight's,6
9026,reporting,6
9025,embarrassed,6
9024,lie,6
9023,mention,6
9022,bernie.,6
9021,rubio.,6
9020,good!,6
9019,dishonest.,6
9018,spend,6
9017,yesterday,6
9016,politician,6
9015,california!,6
9014,"
#americafirst",6
9013,funding,6
9012,#wiprimary,6
